Page,Title,Description,Link,Contributor,Date
0,Cats,"Photo, Print, Drawing",https://www.loc.gov/item/2004670356/,"Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894",: 1874
0,[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2005678556/,"Andō, Hiroshige",: 1840
0,[Cats],"Photo, Print, Drawing",https://www.loc.gov/item/2016892680/,Harris & Ewing,: 1923
0,[Cats],"Photo, Print, Drawing",https://www.loc.gov/item/2016890324/,Harris & Ewing,: 1934
0,[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2018662113/,Harris & Ewing,: 1569
0,[Cat],"Photo, Print, Drawing",https://www.loc.gov/item/2018662115/,Harris & Ewing,: 1569
0,Cat,"Photo, Print, Drawing",https://www.loc.gov/item/2003665736/,"Goldstein, Milton",: 1951
0,"Dandie; the tale of a yellow cat,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.dandiethetaleofy00hung/&q=cats&st=gallery,"Hungerford, Florence",: 1924
0,"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.catguidetoclassi01huid/&q=cats&st=gallery,"Huidekoper, Rush Shippen",: 1895
0,"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.everybodyscatboo00cham/&q=cats&st=gallery,"Champion, Dorothy Bevill",: 1909
0,"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.domesticcatbirdk00forb/&q=cats&st=gallery,"Forbush, Edward Howe",: 1916
0,"Pussy and her language,",Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.pussyherlanguage00clar/&q=cats&st=gallery,"Grimaldi, Alphonse Leon - Clark, Marvin R.",: 1895
0,John B. Moisant,"Photo, Print, Drawing",https://www.loc.gov/item/2004671743/,"Grimaldi, Alphonse Leon - Clark, Marvin R.",: 1911
0,The nomad of the nine lives,Book/Printed Material,https://www.loc.gov/resource/gdclccn.14000113/?st=pdf,"Friebe, A. Frances (Abby Frances) - Atwood, Clara R.",: 1913
0,Cat show,"Photo, Print, Drawing",https://www.loc.gov/item/2016721953/,"Brooks, Charlotte",: 1953
